Name	Lat	Lng	Type	Verses	Source	Confidence	SourceDetail
Bethlehem	31.704306	35.207639	city	Gen.35.19,Gen.48.7,Judg.12.8,Judg.12.10,Ruth.1.19,Ruth.1.22,Ruth.2.4,Ruth.4.11,1Sam.16.4,1Sam.17.15,1Sam.20.6,1Sam.20.28,2Sam.2.32,2Sam.23.14,2Sam.23.15,2Sam.23.16,2Sam.23.24,1Chr.11.16,1Chr.11.17,1Chr.11.18,1Chr.11.26,2Chr.11.6,Ezra.2.21,Neh.7.26,Jer.41.17,Matt.2.1,Matt.2.5,Matt.2.6,Matt.2.8,Matt.2.16,Luke.2.4,Luke.2.15	gnosis	medium	openbible
Bethlehem	32.735379	35.189704	city	Josh.19.15	gnosis	medium	theographic
Bethlehem Ephrathah	31.70536129	35.2102663	city	Mic.5.2	gnosis	medium	theographic
Bethphage	31.777619	35.250839	city	Matt.21.1,Mark.11.1,Luke.19.29	gnosis	medium	openbible
Bethsaida	32.91038	35.63096	city	Matt.11.21,Mark.6.45,Mark.8.22,Luke.9.10,Luke.10.13,John.1.44,John.12.21	gnosis	medium	openbible
Bethuel	31.344952	35.124376	city	1Chr.4.30	gnosis	medium	openbible
Bethul	31.327312	34.87847	city	Josh.19.4	gnosis	medium	openbible
Bileam	32.4462	35.292	city	1Chr.6.70	gnosis	medium	openbible
Bilhah	31.142053	34.91217	city	1Chr.4.29	gnosis	medium	openbible
Bithynia	40.5	31	region	Acts.16.7,1Pet.1.1	gnosis	medium	openbible
Biziothiah	31.24495217357714	34.8408885849849	city	Josh.15.28	gnosis	medium	theographic
Bochim	31.922778	35.241389	city	Judg.2.1,Judg.2.5	gnosis	medium	openbible
Bor-ashan	31.281372	34.797404	city	1Sam.30.30	gnosis	medium	openbible
Bozkath	31.536874	34.913176	city	Josh.15.39,2Kgs.22.1	gnosis	medium	openbible
Broad Wall	31.776083	35.231889	city	Neh.3.8,Neh.12.38	gnosis	medium	openbible
brook Eshcol	31.525087	35.10222	region	Num.13.23,Num.13.24,Num.32.9,Deut.1.24	gnosis	medium	openbible
brook Kidron	31.772134	35.236596	region	2Chr.30.14,John.18.1	gnosis	medium	theographic
Buz	28.356612	38.987969	region	Jer.25.23	gnosis	medium	openbible
Cabbon	31.350265	34.928577	city	Josh.15.40	gnosis	medium	openbible
Caesarea Philippi	33.246111	35.693333	city	Matt.16.13,Mark.8.27	gnosis	medium	openbible
Calno	32.127213	45.229995	city	Isa.10.9	gnosis	medium	theographic
Cana	32.8222	35.30269	city	John.2.1,John.2.11,John.4.46,John.21.2	gnosis	medium	openbible
Canaan	32.766667	35.333333	region	Gen.11.31,Gen.12.5,Gen.13.12,Gen.16.3,Gen.17.8,Gen.23.2,Gen.23.19,Gen.31.18,Gen.33.18,Gen.35.6,Gen.36.5,Gen.36.6,Gen.37.1,Gen.42.5,Gen.42.7,Gen.42.13,Gen.42.29,Gen.42.32,Gen.44.8,Gen.45.17,Gen.45.25,Gen.46.6,Gen.46.10,Gen.46.12,Gen.46.31,Gen.47.1,Gen.47.4,Gen.47.13,Gen.47.14,Gen.47.15,Gen.48.3,Gen.48.7,Gen.49.30,Gen.50.5,Gen.50.13,Exod.6.4,Exod.15.15,Exod.16.35,Lev.14.34,Lev.18.3,Lev.25.38,Num.13.2,Num.13.17,Num.26.19,Num.32.30,Num.32.32,Num.33.40,Num.33.51,Num.34.2,Num.34.29,Num.35.10,Num.35.14,Deut.32.49,Josh.5.12,Josh.14.1,Josh.21.2,Josh.22.9,Josh.22.10,Josh.22.11,Josh.22.32,Josh.24.3,Judg.3.1,Judg.4.2,Judg.4.23,Judg.4.24,Judg.5.19,Judg.21.12,1Chr.16.18,Ps.105.11,Ps.106.38,Ps.135.11,Isa.19.18,Isa.23.11,Zeph.2.5,Acts.7.11,Acts.13.19	gnosis	medium	openbible
Canneh	36.292571	37.205535	city	Ezek.27.23	gnosis	medium	openbible
Capernaum	32.881111	35.575	city	Matt.4.13,Matt.8.5,Matt.11.23,Matt.17.24,Mark.1.21,Mark.2.1,Mark.9.33,Luke.4.23,Luke.4.31,Luke.7.1,Luke.10.15,John.2.12,John.4.46,John.6.17,John.6.24,John.6.59	gnosis	medium	openbible
Caphtor	35.309722	24.893333	city	Deut.2.23,Jer.47.4,Amos.9.7	gnosis	medium	openbible
